transcript_ID	uniprotID																																																																									
Phel_contig_10050	Q5R7A2	Chitobiosyldiphosphodolichol	beta-mannosyltransferase	(EC	2.4.1.142)	(Asparagine-linked	glycosylation	protein	1	homolog)	"(Beta-1,4-mannosyltransferase)"	(GDP-Man:GlcNAc2-PP-dolichol	mannosyltransferase)	(GDP-mannose-dolichol	diphosphochitobiose	mannosyltransferase)	2.00E-150	Pongo	abelii	(Sumatran	orangutan)	(Pongo	pygmaeus	abelii)	281.3086796	-1.592852311	0.389992051	-4.084319945	4.42E-05	0.000766082																																												
Phel_contig_10058	P20749	B-cell	lymphoma	3	protein	(BCL-3)	(Proto-oncogene	BCL3)	6.00E-58	Homo	sapiens	(Human)	24.60459829	2.763287584	1.007975925	2.741422206	0.006117384	0.038122671																																																								
Phel_contig_10096	Q5RC04	Ras-GEF	domain-containing	family	member	1B	0	Pongo	abelii	(Sumatran	orangutan)	(Pongo	pygmaeus	abelii)	133.1348584	1.970550751	0.659021379	2.990116578	0.00278871	0.020902293																																																						
Phel_contig_10101	O32164	Probable	cysteine	desulfurase	(EC	2.8.1.7)	5.00E-28	Bacillus	subtilis	(strain	168)	8.11907673	4.295415434	1.168895724	3.674763578	0.00023807	0.003063079																																																									
Phel_contig_10111	O81884	L-galactose	dehydrogenase	(At-GalDH)	(L-GalDH)	(EC	1.1.1.316)	2.00E-72	Arabidopsis	thaliana	(Mouse-ear	cress)	79.88844901	-1.317443337	0.464655488	-2.835312123	0.004578093	0.030643882																																																								
Phel_contig_10131	Q6GNG8	PRKR-interacting	protein	1	homolog	9.00E-34	Xenopus	laevis	(African	clawed	frog)	231.7361165	-1.673461274	0.631321602	-2.650727092	0.008031871	0.047158931																																																									
Phel_contig_10147	P53803	DNA-directed	RNA	polymerases	"I,"	"II,"	and	III	subunit	RPABC4	(RNA	polymerases	"I,"	"II,"	and	III	subunit	ABC4)	(ABC10-alpha)	(DNA-directed	RNA	polymerase	II	subunit	K)	(RNA	polymerase	II	7	kDa	subunit)	(RPB7.0)	(RPB10alpha)	1.00E-20	Homo	sapiens	(Human)	196.9057214	-1.217439512	0.463705831	-2.625456552	0.008653285	0.049715637																															
Phel_contig_10160	Q8BZQ7	Anaphase-promoting	complex	subunit	2	(APC2)	(Cyclosome	subunit	2)	0	Mus	musculus	(Mouse)	163.3583166	-1.350066246	0.469001886	-2.878594488	0.003994516	0.027634904																																																							
Phel_contig_10161	P04176	Phenylalanine-4-hydroxylase	(PAH)	(EC	1.14.16.1)	(Phe-4-monooxygenase)	2.00E-35	Rattus	norvegicus	(Rat)	47.7332349	-2.484041052	0.777224491	-3.19604063	0.001393275	0.012294203																																																										
Phel_contig_10172	Q7T010	Glutamyl-tRNA(Gln)	amidotransferase	subunit	"B,"	mitochondrial	(Glu-AdT	subunit	B)	(EC	6.3.5.-)	(Cytochrome	c	oxidase	assembly	factor	PET112	homolog)	(PET112-like)	3.00E-168	Danio	rerio	(Zebrafish)	(Brachydanio	rerio)	49.64746307	-2.434714507	0.613875842	-3.966135071	7.30E-05	0.001160307																																											
Phel_contig_1019	Q9Y566	SH3	and	multiple	ankyrin	repeat	domains	protein	1	(Shank1)	(Somatostatin	receptor-interacting	protein)	(SSTR-interacting	protein)	(SSTRIP)	2.00E-132	Homo	sapiens	(Human)	1731.734123	1.666897941	0.463458995	3.596645998	0.000322347	0.003891528																																																
Phel_contig_10224	P60924	Death	ligand	signal	enhancer	6.00E-09	Rattus	norvegicus	(Rat)	17.2754195	2.987153083	0.78904583	3.785778937	0.000153228	0.002144794																																																											
Phel_contig_10256	Q8R151	NFX1-type	zinc	finger-containing	protein	1	2.00E-135	Mus	musculus	(Mouse)	29.02941339	-2.226157942	0.804302892	-2.767810439	0.005643427	0.036058651																																																										
Phel_contig_10261	P17560	N-acylglucosamine	2-epimerase	(AGE)	(EC	5.1.3.8)	(GlcNAc	2-epimerase)	(N-acetyl-D-glucosamine	2-epimerase)	(Renin-binding	protein)	(RnBP)	6.00E-108	Sus	scrofa	(Pig)	66.04621535	2.526009296	0.740561332	3.410938683	0.000647396	0.006765793																																																			
Phel_contig_10262	Q96QF0	Rab-3A-interacting	protein	(Rab3A-interacting	protein)	(Rabin-3)	(SSX2-interacting	protein)	2.00E-56	Homo	sapiens	(Human)	73.6835986	1.932176993	0.561886539	3.43873159	0.000584446	0.006276644																																																								
Phel_contig_1027	P23787	Transitional	endoplasmic	reticulum	ATPase	(TER	ATPase)	(EC	3.6.4.6)	(15S	Mg(2+)-ATPase	p97	subunit)	(p97)	(Valosin-containing	protein)	(VCP)	0	Xenopus	laevis	(African	clawed	frog)	4012.260019	1.542575095	0.403880737	3.819382689	0.000133786	0.001918373																																													
Phel_contig_10278	Q499R4	YrdC	domain-containing	"protein,"	mitochondrial	(Ischemia/reperfusion-inducible	protein	homolog)	2.00E-19	Rattus	norvegicus	(Rat)	68.39569966	-1.242784257	0.472294178	-2.631377462	0.008503953	0.049079049																																																								
Phel_contig_10279	Q92EK7	Uncharacterized	oxidoreductase	Lin0452	(EC	1.-.-.-)	1.00E-49	Listeria	innocua	serovar	6a	(strain	CLIP	11262)	62.54523718	2.31699649	0.749197071	3.092639545	0.001983849	0.016173559																																																						
Phel_contig_10295	P14316	Interferon	regulatory	factor	2	(IRF-2)	2.00E-40	Homo	sapiens	(Human)	261.1251319	1.56441331	0.553556188	2.826114756	0.004711638	0.031366535																																																										
Phel_contig_10324	Q3ZCC3	TNF	receptor-associated	factor	6	(EC	6.3.2.-)	(E3	ubiquitin-protein	ligase	TRAF6)	6.00E-16	Bos	taurus	(Bovine)	18.75135612	3.212117879	0.816660821	3.933233721	8.38E-05	0.001300023																																																					
Phel_contig_10344	Q8C172	Ceramide	synthase	6	(CerS6)	(LAG1	longevity	assurance	homolog	6)	2.00E-81	Mus	musculus	(Mouse)	129.7395427	1.631999042	0.539480712	3.025129547	0.002485267	0.019172056																																																						
Phel_contig_10349	P23824	GATA-binding	factor	2	(GATA-2)	(Transcription	factor	NF-E1b)	7.00E-79	Gallus	gallus	(Chicken)	300.2424998	-2.710696477	0.443669779	-6.109716298	9.98E-10	6.78E-08																																																								
Phel_contig_10373	Q8K4S1	1-phosphatidylinositol	"4,5-bisphosphate"	phosphodiesterase	epsilon-1	(EC	3.1.4.11)	(Phosphoinositide	phospholipase	C-epsilon-1)	(Phospholipase	C-epsilon-1)	(PLC-epsilon-1)	1.00E-19	Mus	musculus	(Mouse)	22.24981369	4.265538932	1.002125915	4.256489998	2.08E-05	0.000408419																																																			
Phel_contig_10438	A0JP86	Laminin	subunit	gamma-1	5.00E-31	Xenopus	tropicalis	(Western	clawed	frog)	(Silurana	tropicalis)	134.2762105	-1.103616288	0.416232589	-2.651441326	0.008014904	0.047110403																																																								
Phel_contig_105	P11993	NADH-ubiquinone	oxidoreductase	chain	5	(EC	1.6.5.3)	(NADH	dehydrogenase	subunit	5)	2.00E-153	Patiria	pectinifera	(Starfish)	(Asterina	pectinifera)	119538.8116	2.015970822	0.766025993	2.63172639	0.008495225	0.049054826																																																			
Phel_contig_10583	Q8C3R1	BRCA1-associated	ATM	activator	1	(BRCA1-associated	protein	required	for	ATM	activation	protein	1)	6.00E-07	Mus	musculus	(Mouse)	63.34834655	-1.478204962	0.51265973	-2.883403698	0.003934029	0.027321189																																																			
Phel_contig_106	P34147	Rho-related	protein	racA	3.00E-148	Dictyostelium	discoideum	(Slime	mold)	1599.038449	3.450111772	0.656538691	5.255001445	1.48E-07	5.68E-06																																																											
Phel_contig_1060	Q91V92	ATP-citrate	synthase	(EC	2.3.3.8)	(ATP-citrate	(pro-S-)-lyase)	(Citrate	cleavage	enzyme)	0	Mus	musculus	(Mouse)	465.9704863	5.018140919	0.671133237	7.477115779	7.60E-14	1.18E-11																																																						
Phel_contig_10626	Q4G0U5	Primary	ciliary	dyskinesia	protein	1	5.00E-166	Homo	sapiens	(Human)	314.2563284	-1.0065627	0.38249539	-2.631568186	0.008499181	0.049064587																																																										
Phel_contig_1064	Q9W2N0	F-actin-capping	protein	subunit	alpha	2.00E-103	Drosophila	melanogaster	(Fruit	fly)	2112.751328	1.124749966	0.367870476	3.057461903	0.0022322	0.01763703																																																										
Phel_contig_10654	Q5RFI8	Phosphoglucomutase-2	(PGM	2)	(EC	5.4.2.2)	(Glucose	phosphomutase	2)	(Phosphodeoxyribomutase)	(Phosphopentomutase)	(EC	5.4.2.7)	0	Pongo	abelii	(Sumatran	orangutan)	(Pongo	pygmaeus	abelii)	190.5672094	-2.378801335	0.50666243	-4.695041897	2.67E-06	7.19E-05																																															
Phel_contig_1066	P35624	Metalloproteinase	inhibitor	1	(Tissue	inhibitor	of	metalloproteinases	1)	(TIMP-1)	1.00E-14	Sus	scrofa	(Pig)	5803.291892	6.570594551	0.752490477	8.731797616	2.51E-18	7.98E-16																																																						
Phel_contig_1067	Q9H3F6	BTB/POZ	domain-containing	adapter	for	CUL3-mediated	RhoA	degradation	protein	3	(hBACURD3)	(BTB/POZ	domain-containing	protein	KCTD10)	(Potassium	channel	tetramerization	domain-containing	protein	10)	1.00E-127	Homo	sapiens	(Human)	53.24979675	2.555196753	0.710831641	3.594658151	0.000324818	0.003907558																																											
Phel_contig_10674	Q9WU22	Tyrosine-protein	phosphatase	non-receptor	type	4	(EC	3.1.3.48)	(Testis-enriched	protein	tyrosine	phosphatase)	0	Mus	musculus	(Mouse)	63.75521094	2.831591762	0.619817533	4.568427984	4.91E-06	0.00011929																																																				
Phel_contig_10685	O75095	Multiple	epidermal	growth	factor-like	domains	protein	6	(Multiple	EGF-like	domains	protein	6)	(Epidermal	growth	factor-like	protein	3)	(EGF-like	protein	3)	6.00E-93	Homo	sapiens	(Human)	16.0595204	4.627734803	1.113836214	4.15477136	3.26E-05	0.000595509																																											
